distil_id	bead_batch	bead_revision	bead_set	cell_id	count_cv	count_mean	det_mode	det_plate	det_well	inf_model	pert_dose	pert_dose_unit	pert_id	pert_iname	pert_itime	pert_mfc_desc	pert_time	pert_time_unit	pert_type	pool_id	provenance_code	qc_f_logp	qc_iqr	qc_slope	rna_plate	rna_well	pert_plate
PETER001_HEPG2_24H_X1_B46:A14	b46	r2	dp52,dp53	HEPG2	16	106	duo	PETER001_HEPG2_24H_X1_B46	A14	mlr12k	0.1|0.1|0.5	uM	Dolutegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	Dolutegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24 h	Dolutegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.4	16.86	55	PETER001_HEPG2_24H_X1	A14	PETER001
PETER001_HEPG2_24H_X1_B46:A15	b46	r2	dp52,dp53	HEPG2	18	123	duo	PETER001_HEPG2_24H_X1_B46	A15	mlr12k	0.1|0.1|0.5	uM	Dolutegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	Dolutegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24 h	Dolutegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.8	15.76	53	PETER001_HEPG2_24H_X1	A15	PETER001
PETER001_HEPG2_24H_X1_B46:A16	b46	r2	dp52,dp53	HEPG2	16	119	duo	PETER001_HEPG2_24H_X1_B46	A16	mlr12k	0.5	uM	Abacavir	Abacavir	24 h	Abacavir	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6	12.49	55	PETER001_HEPG2_24H_X1	A16	PETER001
PETER001_HEPG2_24H_X1_B46:A17	b46	r2	dp52,dp53	HEPG2	17	104	duo	PETER001_HEPG2_24H_X1_B46	A17	mlr12k	0.5	uM	Abacavir	Abacavir	24 h	Abacavir	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.2	16.08	53	PETER001_HEPG2_24H_X1	A17	PETER001
PETER001_HEPG2_24H_X1_B46:A18	b46	r2	dp52,dp53	HEPG2	18	104	duo	PETER001_HEPG2_24H_X1_B46	A18	mlr12k	0.5	uM	Abacavir	Abacavir	24 h	Abacavir	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.4	15.76	51	PETER001_HEPG2_24H_X1	A18	PETER001
PETER001_HEPG2_24H_X1_B46:A19	b46	r2	dp52,dp53	HEPG2	18	122	duo	PETER001_HEPG2_24H_X1_B46	A19	mlr12k	0.5	uM	Ritonavir	Ritonavir	24 h	Ritonavir	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.6	12.58	55	PETER001_HEPG2_24H_X1	A19	PETER001
PETER001_HEPG2_24H_X1_B46:A20	b46	r2	dp52,dp53	HEPG2	19	104	duo	PETER001_HEPG2_24H_X1_B46	A20	mlr12k	0.5	uM	Ritonavir	Ritonavir	24 h	Ritonavir	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.4	14.46	52	PETER001_HEPG2_24H_X1	A20	PETER001
PETER001_HEPG2_24H_X1_B46:A21	b46	r2	dp52,dp53	HEPG2	19	103	duo	PETER001_HEPG2_24H_X1_B46	A21	mlr12k	0.5	uM	Ritonavir	Ritonavir	24 h	Ritonavir	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.7	14.91	52	PETER001_HEPG2_24H_X1	A21	PETER001
PETER001_HEPG2_24H_X1_B46:B04	b46	r2	dp52,dp53	HEPG2	17	104	duo	PETER001_HEPG2_24H_X1_B46	B04	mlr12k	0.1|0.1|0.5|0.1	uM	Darunavir|Emtricitabine|Ritonavir|Tenofovir Disoproxil Fumarate	Darunavir|Emtricitabine|Ritonavir|Tenofovir Disoproxil Fumarate	24 h	Darunavir|Emtricitabine|Ritonavir|Tenofovir Disoproxil Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.5	14.04	56	PETER001_HEPG2_24H_X1	B04	PETER001
PETER001_HEPG2_24H_X1_B46:B05	b46	r2	dp52,dp53	HEPG2	17	106	duo	PETER001_HEPG2_24H_X1_B46	B05	mlr12k	0.1|0.1|0.5|0.1	uM	Darunavir|Emtricitabine|Ritonavir|Tenofovir Disoproxil Fumarate	Darunavir|Emtricitabine|Ritonavir|Tenofovir Disoproxil Fumarate	24 h	Darunavir|Emtricitabine|Ritonavir|Tenofovir Disoproxil Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.3	14.78	52	PETER001_HEPG2_24H_X1	B05	PETER001
PETER001_HEPG2_24H_X1_B46:B06	b46	r2	dp52,dp53	HEPG2	17	110	duo	PETER001_HEPG2_24H_X1_B46	B06	mlr12k	0.1|0.1|0.5|0.1	uM	Darunavir|Emtricitabine|Ritonavir|Tenofovir Disoproxil Fumarate	Darunavir|Emtricitabine|Ritonavir|Tenofovir Disoproxil Fumarate	24 h	Darunavir|Emtricitabine|Ritonavir|Tenofovir Disoproxil Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.4	14.78	53	PETER001_HEPG2_24H_X1	B06	PETER001
PETER001_HEPG2_24H_X1_B46:B07	b46	r2	dp52,dp53	HEPG2	16	121	duo	PETER001_HEPG2_24H_X1_B46	B07	mlr12k	0.1|0.1|0.1|0.5	uM	Cobicistat|Elvitegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	Cobicistat|Elvitegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24 h	Cobicistat|Elvitegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.9	16.63	54	PETER001_HEPG2_24H_X1	B07	PETER001
PETER001_HEPG2_24H_X1_B46:B08	b46	r2	dp52,dp53	HEPG2	18	103	duo	PETER001_HEPG2_24H_X1_B46	B08	mlr12k	0.1|0.1|0.1|0.5	uM	Cobicistat|Elvitegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	Cobicistat|Elvitegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24 h	Cobicistat|Elvitegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.8	15.06	53	PETER001_HEPG2_24H_X1	B08	PETER001
PETER001_HEPG2_24H_X1_B46:B09	b46	r2	dp52,dp53	HEPG2	16	108	duo	PETER001_HEPG2_24H_X1_B46	B09	mlr12k	0.1|0.1|0.1|0.5	uM	Cobicistat|Elvitegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	Cobicistat|Elvitegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24 h	Cobicistat|Elvitegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.2	12.78	51	PETER001_HEPG2_24H_X1	B09	PETER001
PETER001_HEPG2_24H_X1_B46:B10	b46	r2	dp52,dp53	HEPG2	17	104	duo	PETER001_HEPG2_24H_X1_B46	B10	mlr12k	0.1|0.1	uM	Cobicistat|Emtricitabine	Cobicistat|Emtricitabine	24 h	Cobicistat|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.8	16.54	56	PETER001_HEPG2_24H_X1	B10	PETER001
PETER001_HEPG2_24H_X1_B46:B11	b46	r2	dp52,dp53	HEPG2	17	104	duo	PETER001_HEPG2_24H_X1_B46	B11	mlr12k	0.1|0.1	uM	Cobicistat|Emtricitabine	Cobicistat|Emtricitabine	24 h	Cobicistat|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6	14.31	55	PETER001_HEPG2_24H_X1	B11	PETER001
PETER001_HEPG2_24H_X1_B46:B12	b46	r2	dp52,dp53	HEPG2	16	113	duo	PETER001_HEPG2_24H_X1_B46	B12	mlr12k	0.1|0.1	uM	Cobicistat|Emtricitabine	Cobicistat|Emtricitabine	24 h	Cobicistat|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.7	12.88	52	PETER001_HEPG2_24H_X1	B12	PETER001
PETER001_HEPG2_24H_X1_B46:B13	b46	r2	dp52,dp53	HEPG2	16	108	duo	PETER001_HEPG2_24H_X1_B46	B13	mlr12k	0.1|0.1	uM	Cobicistat|Elvitegravir	Cobicistat|Elvitegravir	24 h	Cobicistat|Elvitegravir	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.9	14.54	54	PETER001_HEPG2_24H_X1	B13	PETER001
PETER001_HEPG2_24H_X1_B46:B14	b46	r2	dp52,dp53	HEPG2	17	107	duo	PETER001_HEPG2_24H_X1_B46	B14	mlr12k	0.1|0.1	uM	Cobicistat|Elvitegravir	Cobicistat|Elvitegravir	24 h	Cobicistat|Elvitegravir	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.2	15.39	55	PETER001_HEPG2_24H_X1	B14	PETER001
PETER001_HEPG2_24H_X1_B46:B15	b46	r2	dp52,dp53	HEPG2	17	105	duo	PETER001_HEPG2_24H_X1_B46	B15	mlr12k	0.1|0.1	uM	Cobicistat|Elvitegravir	Cobicistat|Elvitegravir	24 h	Cobicistat|Elvitegravir	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.3	15.86	53	PETER001_HEPG2_24H_X1	B15	PETER001
PETER001_HEPG2_24H_X1_B46:B16	b46	r2	dp52,dp53	HEPG2	17	105	duo	PETER001_HEPG2_24H_X1_B46	B16	mlr12k	0.1	uM	Dolutegravir	Dolutegravir	24 h	Dolutegravir	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.5	13.45	55	PETER001_HEPG2_24H_X1	B16	PETER001
PETER001_HEPG2_24H_X1_B46:B17	b46	r2	dp52,dp53	HEPG2	18	117	duo	PETER001_HEPG2_24H_X1_B46	B17	mlr12k	0.1	uM	Dolutegravir	Dolutegravir	24 h	Dolutegravir	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.4	14.1	54	PETER001_HEPG2_24H_X1	B17	PETER001
PETER001_HEPG2_24H_X1_B46:B18	b46	r2	dp52,dp53	HEPG2	19	101	duo	PETER001_HEPG2_24H_X1_B46	B18	mlr12k	0.1	uM	Dolutegravir	Dolutegravir	24 h	Dolutegravir	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6	19.25	52	PETER001_HEPG2_24H_X1	B18	PETER001
PETER001_HEPG2_24H_X1_B46:B19	b46	r2	dp52,dp53	HEPG2	19	103	duo	PETER001_HEPG2_24H_X1_B46	B19	mlr12k	0.01	uM	Water	Water	24 h	Water	24	h	ctl_untrt	epsilon	KMV+F2D+INO+QNO	6.3	15.2	56	PETER001_HEPG2_24H_X1	B19	PETER001
PETER001_HEPG2_24H_X1_B46:B20	b46	r2	dp52,dp53	HEPG2	19	111	duo	PETER001_HEPG2_24H_X1_B46	B20	mlr12k	0.01	uM	Water	Water	24 h	Water	24	h	ctl_untrt	epsilon	KMV+F2D+INO+QNO	5.9	14.44	54	PETER001_HEPG2_24H_X1	B20	PETER001
PETER001_HEPG2_24H_X1_B46:B21	b46	r2	dp52,dp53	HEPG2	18	99	duo	PETER001_HEPG2_24H_X1_B46	B21	mlr12k	0.01	uM	Water	Water	24 h	Water	24	h	ctl_untrt	epsilon	KMV+F2D+INO+QNO	6.1	16.86	52	PETER001_HEPG2_24H_X1	B21	PETER001
PETER001_HEPG2_24H_X1_B46:C01	b46	r2	dp52,dp53	HEPG2	15	110	duo	PETER001_HEPG2_24H_X1_B46	C01	mlr12k	0.5	uM	DMSO	DMSO	24 h	DMSO	24	h	ctl_vehicle	epsilon	KMV+F2D+INO+QNO	5.7	13.51	55	PETER001_HEPG2_24H_X1	C01	PETER001
PETER001_HEPG2_24H_X1_B46:C02	b46	r2	dp52,dp53	HEPG2	18	101	duo	PETER001_HEPG2_24H_X1_B46	C02	mlr12k	0.5	uM	DMSO	DMSO	24 h	DMSO	24	h	ctl_vehicle	epsilon	KMV+F2D+INO+QNO	5.2	13.58	56	PETER001_HEPG2_24H_X1	C02	PETER001
PETER001_HEPG2_24H_X1_B46:C03	b46	r2	dp52,dp53	HEPG2	17	103	duo	PETER001_HEPG2_24H_X1_B46	C03	mlr12k	0.5	uM	DMSO	DMSO	24 h	DMSO	24	h	ctl_vehicle	epsilon	KMV+F2D+INO+QNO	5.8	16.63	54	PETER001_HEPG2_24H_X1	C03	PETER001
PETER001_HEPG2_24H_X1_B46:C04	b46	r2	dp52,dp53	HEPG2	18	104	duo	PETER001_HEPG2_24H_X1_B46	C04	mlr12k	0.5|0.1	uM	Abacavir|Dolutegravir	Abacavir|Dolutegravir	24 h	Abacavir|Dolutegravir	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.6	12.41	56	PETER001_HEPG2_24H_X1	C04	PETER001
PETER001_HEPG2_24H_X1_B46:C05	b46	r2	dp52,dp53	HEPG2	16	121	duo	PETER001_HEPG2_24H_X1_B46	C05	mlr12k	0.5|0.1	uM	Abacavir|Dolutegravir	Abacavir|Dolutegravir	24 h	Abacavir|Dolutegravir	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	3.4	9.09	63	PETER001_HEPG2_24H_X1	C05	PETER001
PETER001_HEPG2_24H_X1_B46:C06	b46	r2	dp52,dp53	HEPG2	17	104	duo	PETER001_HEPG2_24H_X1_B46	C06	mlr12k	0.5|0.1	uM	Abacavir|Dolutegravir	Abacavir|Dolutegravir	24 h	Abacavir|Dolutegravir	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.4	16.41	53	PETER001_HEPG2_24H_X1	C06	PETER001
PETER001_HEPG2_24H_X1_B46:C07	b46	r2	dp52,dp53	HEPG2	18	109	duo	PETER001_HEPG2_24H_X1_B46	C07	mlr12k	0.1|0.1	uM	Dolutegravir|Emtricitabine	Dolutegravir|Emtricitabine	24 h	Dolutegravir|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.3	15.74	56	PETER001_HEPG2_24H_X1	C07	PETER001
PETER001_HEPG2_24H_X1_B46:C08	b46	r2	dp52,dp53	HEPG2	17	104	duo	PETER001_HEPG2_24H_X1_B46	C08	mlr12k	0.1|0.1	uM	Dolutegravir|Emtricitabine	Dolutegravir|Emtricitabine	24 h	Dolutegravir|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	2.7	21.24	63	PETER001_HEPG2_24H_X1	C08	PETER001
PETER001_HEPG2_24H_X1_B46:C09	b46	r2	dp52,dp53	HEPG2	18	100	duo	PETER001_HEPG2_24H_X1_B46	C09	mlr12k	0.1|0.1	uM	Dolutegravir|Emtricitabine	Dolutegravir|Emtricitabine	24 h	Dolutegravir|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	2.6	9.91	63	PETER001_HEPG2_24H_X1	C09	PETER001
PETER001_HEPG2_24H_X1_B46:C10	b46	r2	dp52,dp53	HEPG2	17	100	duo	PETER001_HEPG2_24H_X1_B46	C10	mlr12k	0.5|0.1	uM	Abacavir|Emtricitabine	Abacavir|Emtricitabine	24 h	Abacavir|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	2.9	9.77	62	PETER001_HEPG2_24H_X1	C10	PETER001
PETER001_HEPG2_24H_X1_B46:C11	b46	r2	dp52,dp53	HEPG2	15	105	duo	PETER001_HEPG2_24H_X1_B46	C11	mlr12k	0.5|0.1	uM	Abacavir|Emtricitabine	Abacavir|Emtricitabine	24 h	Abacavir|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	3.8	8.32	61	PETER001_HEPG2_24H_X1	C11	PETER001
PETER001_HEPG2_24H_X1_B46:C12	b46	r2	dp52,dp53	HEPG2	18	126	duo	PETER001_HEPG2_24H_X1_B46	C12	mlr12k	0.5|0.1	uM	Abacavir|Emtricitabine	Abacavir|Emtricitabine	24 h	Abacavir|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.4	19.04	52	PETER001_HEPG2_24H_X1	C12	PETER001
PETER001_HEPG2_24H_X1_B46:C13	b46	r2	dp52,dp53	HEPG2	17	100	duo	PETER001_HEPG2_24H_X1_B46	C13	mlr12k	0.1|0.1	uM	Elvitegravir|Emtricitabine	Elvitegravir|Emtricitabine	24 h	Elvitegravir|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	3.8	7.22	60	PETER001_HEPG2_24H_X1	C13	PETER001
PETER001_HEPG2_24H_X1_B46:C14	b46	r2	dp52,dp53	HEPG2	18	102	duo	PETER001_HEPG2_24H_X1_B46	C14	mlr12k	0.1|0.1	uM	Elvitegravir|Emtricitabine	Elvitegravir|Emtricitabine	24 h	Elvitegravir|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.1	16.1	54	PETER001_HEPG2_24H_X1	C14	PETER001
PETER001_HEPG2_24H_X1_B46:C15	b46	r2	dp52,dp53	HEPG2	18	106	duo	PETER001_HEPG2_24H_X1_B46	C15	mlr12k	0.1|0.1	uM	Elvitegravir|Emtricitabine	Elvitegravir|Emtricitabine	24 h	Elvitegravir|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.6	16.94	53	PETER001_HEPG2_24H_X1	C15	PETER001
PETER001_HEPG2_24H_X1_B46:C16	b46	r2	dp52,dp53	HEPG2	18	101	duo	PETER001_HEPG2_24H_X1_B46	C16	mlr12k	0.1	uM	Emtricitabine	Emtricitabine	24 h	Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.6	14.68	55	PETER001_HEPG2_24H_X1	C16	PETER001
PETER001_HEPG2_24H_X1_B46:C17	b46	r2	dp52,dp53	HEPG2	17	108	duo	PETER001_HEPG2_24H_X1_B46	C17	mlr12k	0.1	uM	Emtricitabine	Emtricitabine	24 h	Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	4.2	7.16	57	PETER001_HEPG2_24H_X1	C17	PETER001
PETER001_HEPG2_24H_X1_B46:C18	b46	r2	dp52,dp53	HEPG2	18	106	duo	PETER001_HEPG2_24H_X1_B46	C18	mlr12k	0.1	uM	Emtricitabine	Emtricitabine	24 h	Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.5	18.74	54	PETER001_HEPG2_24H_X1	C18	PETER001
PETER001_HEPG2_24H_X1_B46:C19	b46	r2	dp52,dp53	HEPG2	19	107	duo	PETER001_HEPG2_24H_X1_B46	C19	mlr12k	5	uM	Genistein	Genistein	24 h	Genistein	24	h	trt_poscon	epsilon	KMV+F2D+INO+QNO	4.7	8.81	59	PETER001_HEPG2_24H_X1	C19	PETER001
PETER001_HEPG2_24H_X1_B46:C20	b46	r2	dp52,dp53	HEPG2	17	113	duo	PETER001_HEPG2_24H_X1_B46	C20	mlr12k	5	uM	Genistein	Genistein	24 h	Genistein	24	h	trt_poscon	epsilon	KMV+F2D+INO+QNO	5.9	12.86	54	PETER001_HEPG2_24H_X1	C20	PETER001
PETER001_HEPG2_24H_X1_B46:C21	b46	r2	dp52,dp53	HEPG2	18	106	duo	PETER001_HEPG2_24H_X1_B46	C21	mlr12k	5	uM	Genistein	Genistein	24 h	Genistein	24	h	trt_poscon	epsilon	KMV+F2D+INO+QNO	3.4	8.38	63	PETER001_HEPG2_24H_X1	C21	PETER001
PETER001_HEPG2_24H_X1_B46:D01	b46	r2	dp52,dp53	HEPG2	17	106	duo	PETER001_HEPG2_24H_X1_B46	D01	mlr12k	0.1|0.1|0.1	uM	Cobicistat|Elvitegravir|Emtricitabine	Cobicistat|Elvitegravir|Emtricitabine	24 h	Cobicistat|Elvitegravir|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	7.5	13.35	55	PETER001_HEPG2_24H_X1	D01	PETER001
PETER001_HEPG2_24H_X1_B46:D02	b46	r2	dp52,dp53	HEPG2	16	118	duo	PETER001_HEPG2_24H_X1_B46	D02	mlr12k	0.1|0.1|0.1	uM	Cobicistat|Elvitegravir|Emtricitabine	Cobicistat|Elvitegravir|Emtricitabine	24 h	Cobicistat|Elvitegravir|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	3.9	9.27	60	PETER001_HEPG2_24H_X1	D02	PETER001
PETER001_HEPG2_24H_X1_B46:D03	b46	r2	dp52,dp53	HEPG2	17	105	duo	PETER001_HEPG2_24H_X1_B46	D03	mlr12k	0.1|0.1|0.1	uM	Cobicistat|Elvitegravir|Emtricitabine	Cobicistat|Elvitegravir|Emtricitabine	24 h	Cobicistat|Elvitegravir|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.3	15.91	52	PETER001_HEPG2_24H_X1	D03	PETER001
PETER001_HEPG2_24H_X1_B46:D04	b46	r2	dp52,dp53	HEPG2	17	106	duo	PETER001_HEPG2_24H_X1_B46	D04	mlr12k	0.5|0.1	uM	Efavirenz|Emtricitabine	Efavirenz|Emtricitabine	24 h	Efavirenz|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.5	14.89	55	PETER001_HEPG2_24H_X1	D04	PETER001
PETER001_HEPG2_24H_X1_B46:D05	b46	r2	dp52,dp53	HEPG2	16	102	duo	PETER001_HEPG2_24H_X1_B46	D05	mlr12k	0.5|0.1	uM	Efavirenz|Emtricitabine	Efavirenz|Emtricitabine	24 h	Efavirenz|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	1.8	9.22	62	PETER001_HEPG2_24H_X1	D05	PETER001
PETER001_HEPG2_24H_X1_B46:D06	b46	r2	dp52,dp53	HEPG2	16	104	duo	PETER001_HEPG2_24H_X1_B46	D06	mlr12k	0.5|0.1	uM	Efavirenz|Emtricitabine	Efavirenz|Emtricitabine	24 h	Efavirenz|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	3.6	10.31	59	PETER001_HEPG2_24H_X1	D06	PETER001
PETER001_HEPG2_24H_X1_B46:D08	b46	r2	dp52,dp53	HEPG2	17	100	duo	PETER001_HEPG2_24H_X1_B46	D08	mlr12k	0.1|0.1	uM	Emtricitabine|Tenofovir Disoproxil Fumarate	Emtricitabine|Tenofovir Disoproxil Fumarate	24 h	Emtricitabine|Tenofovir Disoproxil Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	2.6	14.38	62	PETER001_HEPG2_24H_X1	D08	PETER001
